Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
88104,Other professional services,CYTOPATH FL NONGYN SMEARS,109.46,109.46
88104-26,Clinical Laboratory,CYTOPATH FL NONGYN SMEARS,38.28,38.28
88104-TC,Clinical Laboratory,CYTOPATH FL NONGYN SMEARS,71.19,71.19
88106,Other professional services,CYTOPATH FL NONGYN FILTER,96.65,96.65
88106-26,Clinical Laboratory,CYTOPATH FL NONGYN FILTER,25.92,25.92
88106-TC,Clinical Laboratory,CYTOPATH FL NONGYN FILTER,70.74,70.74
88108,Other professional services,CYTOPATH CONCENTRATE TECH,95.69,95.69
88108-26,Clinical Laboratory,CYTOPATH CONCENTRATE TECH,30.66,30.66
88108-TC,Clinical Laboratory,CYTOPATH CONCENTRATE TECH,65.03,65.03
88112,Other professional services,CYTOPATH CELL ENHANCE TECH,92.97,92.97
88112-26,Clinical Laboratory,CYTOPATH CELL ENHANCE TECH,37.83,37.83
88112-TC,Clinical Laboratory,CYTOPATH CELL ENHANCE TECH,55.14,55.14
88120,Other professional services,CYTP URNE 3-5 PROBES EA SPEC,757.14,757.14
88120-26,Clinical Laboratory,CYTP URNE 3-5 PROBES EA SPEC,79.98,79.98
88120-TC,Clinical Laboratory,CYTP URNE 3-5 PROBES EA SPEC,677.16,677.16
88121,Other professional services,CYTP URINE 3-5 PROBES CMPTR,549.42,549.42
88121-26,Clinical Laboratory,CYTP URINE 3-5 PROBES CMPTR,66.69,66.69
88121-TC,Clinical Laboratory,CYTP URINE 3-5 PROBES CMPTR,482.73,482.73
88125,Other professional services,FORENSIC CYTOPATHOLOGY,39.77,39.77
88125-26,Clinical Laboratory,FORENSIC CYTOPATHOLOGY,18.78,18.78
88125-TC,Clinical Laboratory,FORENSIC CYTOPATHOLOGY,20.99,20.99
88130,Clinical Laboratory,SEX CHROMATIN IDENTIFICATION,26.97,26.97
88140,Clinical Laboratory,SEX CHROMATIN IDENTIFICATION,11.99,11.99
88141,Other professional services,CYTOPATH C/V INTERPRET,34.50,34.50
88142,Clinical Laboratory,CYTOPATH C/V THIN LAYER,30.39,30.39
88143,Clinical Laboratory,CYTOPATH C/V THIN LAYER REDO,34.56,34.56
88147,Clinical Laboratory,CYTOPATH C/V AUTOMATED,75.84,75.84
88148,Clinical Laboratory,CYTOPATH C/V AUTO RESCREEN,27.29,27.29
88150,Clinical Laboratory,CYTOPATH C/V MANUAL,27.29,27.29
88152,Clinical Laboratory,CYTOPATH C/V AUTO REDO,41.46,41.46
88153,Clinical Laboratory,CYTOPATH C/V REDO,36.05,36.05
88155,Clinical Laboratory,CYTOPATH C/V INDEX ADD-ON,21.98,21.98
88160,Other professional services,CYTOPATH SMEAR OTHER SOURCE,113.75,113.75
88160-26,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,35.37,35.37
88160-TC,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,78.38,78.38
88161,Other professional services,CYTOPATH SMEAR OTHER SOURCE,114.63,114.63
88161-26,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,34.92,34.92
88161-TC,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,79.73,79.73
88162,Other professional services,CYTOPATH SMEAR OTHER SOURCE,180.14,180.14
88162-26,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,53.82,53.82
88162-TC,Clinical Laboratory,CYTOPATH SMEAR OTHER SOURCE,126.32,126.32
88164,Clinical Laboratory,CYTOPATH TBS C/V MANUAL,27.29,27.29
88165,Clinical Laboratory,CYTOPATH TBS C/V REDO,63.33,63.33
88166,Clinical Laboratory,CYTOPATH TBS C/V AUTO REDO,27.29,27.29
88167,Clinical Laboratory,CYTOPATH TBS C/V SELECT,27.29,27.29
88172,Other professional services,CYTP DX EVAL FNA 1ST EA SITE,78.15,78.15
88172-26,Clinical Laboratory,CYTP DX EVAL FNA 1ST EA SITE,48.63,48.63
88172-TC,Clinical Laboratory,CYTP DX EVAL FNA 1ST EA SITE,29.52,29.52
88173,Other professional services,CYTOPATH EVAL FNA REPORT,235.17,235.17
88173-26,Clinical Laboratory,CYTOPATH EVAL FNA REPORT,95.49,95.49
88173-TC,Clinical Laboratory,CYTOPATH EVAL FNA REPORT,139.68,139.68
88174,Clinical Laboratory,CYTOPATH C/V AUTO IN FLUID,38.06,38.06
88175,Clinical Laboratory,CYTOPATH C/V AUTO FLUID REDO,39.92,39.92
88177,Other professional services,CYTP FNA EVAL EA ADDL,41.37,41.37
88177-26,Clinical Laboratory,CYTP FNA EVAL EA ADDL,29.69,29.69
88177-TC,Clinical Laboratory,CYTP FNA EVAL EA ADDL,11.69,11.69
88182,Other professional services,CELL MARKER STUDY,218.24,218.24
88182-26,Clinical Laboratory,CELL MARKER STUDY,52.07,52.07
88182-TC,Clinical Laboratory,CELL MARKER STUDY,166.19,166.19
88184,Other professional services,FLOWCYTOMETRY/ TC 1 MARKER,104.76,104.76
88185,Other professional services,FLOWCYTOMETRY/TC ADD-ON,30.56,30.56
88187,Other professional services,FLOWCYTOMETRY/READ 2-8,49.91,49.91
88188,Other professional services,FLOWCYTOMETRY/READ 9-15,84.56,84.56
88189,Other professional services,FLOWCYTOMETRY/READ 16 & >,115.29,115.29
88199,Other professional services,UNLISTED CYTOPATHOLOGY PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88199-26,Clinical Laboratory,UNLISTED CYTOPATHOLOGY PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88199-TC,Clinical Laboratory,UNLISTED CYTOPATHOLOGY PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88230,Clinical Laboratory,TISSUE CULTURE LYMPHOCYTE,174.74,174.74
88233,Clinical Laboratory,TISSUE CULTURE SKIN/BIOPSY,211.10,211.10
88235,Clinical Laboratory,TISSUE CULTURE PLACENTA,225.45,225.45
88237,Clinical Laboratory,TISSUE CULTURE BONE MARROW,215.63,215.63
88239,Clinical Laboratory,TISSUE CULTURE TUMOR,221.28,221.28
88240,Clinical Laboratory,CELL CRYOPRESERVE/STORAGE,19.61,19.61
88241,Clinical Laboratory,FROZEN CELL PREPARATION,18.14,18.14
88245,Clinical Laboratory,CHROMOSOME ANALYSIS 20-25,259.76,259.76
88248,Clinical Laboratory,CHROMOSOME ANALYSIS 50-100,259.76,259.76
88249,Clinical Laboratory,CHROMOSOME ANALYSIS 100,259.76,259.76
88261,Clinical Laboratory,CHROMOSOME ANALYSIS 5,396.51,396.51
88262,Clinical Laboratory,CHROMOSOME ANALYSIS 15-20,188.24,188.24
88263,Clinical Laboratory,CHROMOSOME ANALYSIS 45,225.44,225.44
88264,Clinical Laboratory,CHROMOSOME ANALYSIS 20-25,216.92,216.92
88267,Clinical Laboratory,CHROMOSOME ANALYS PLACENTA,282.86,282.86
88269,Clinical Laboratory,CHROMOSOME ANALYS AMNIOTIC,260.49,260.49
88271,Clinical Laboratory,CYTOGENETICS DNA PROBE,32.13,32.13
88272,Clinical Laboratory,CYTOGENETICS 3-5,61.05,61.05
88273,Clinical Laboratory,CYTOGENETICS 10-30,52.22,52.22
88274,Clinical Laboratory,CYTOGENETICS 25-99,63.57,63.57
88275,Clinical Laboratory,CYTOGENETICS 100-300,76.79,76.79
88280,Clinical Laboratory,CHROMOSOME KARYOTYPE STUDY,50.21,50.21
88283,Clinical Laboratory,CHROMOSOME BANDING STUDY,102.90,102.90
88285,Clinical Laboratory,CHROMOSOME COUNT ADDITIONAL,40.37,40.37
88289,Clinical Laboratory,CHROMOSOME STUDY ADDITIONAL,51.65,51.65
88291,Other professional services,CYTO/MOLECULAR REPORT,47.45,47.45
88299,Other professional services,UNLISTED CYTOGENETIC STUDY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88300,Other professional services,SURGICAL PATH GROSS,22.50,22.50
88300-26,Clinical Laboratory,SURGICAL PATH GROSS,6.00,6.00
88300-TC,Clinical Laboratory,SURGICAL PATH GROSS,16.50,16.50
88302,Other professional services,TISSUE EXAM BY PATHOLOGIST,45.15,45.15
88302-26,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,9.33,9.33
88302-TC,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,35.82,35.82
88304,Other professional services,TISSUE EXAM BY PATHOLOGIST,58.05,58.05
88304-26,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,15.50,15.50
88304-TC,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,42.56,42.56
88305,Other professional services,TISSUE EXAM BY PATHOLOGIST,99.05,99.05
88305-26,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,51.09,51.09
88305-TC,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,47.96,47.96
88307,Other professional services,TISSUE EXAM BY PATHOLOGIST,391.22,391.22
88307-26,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,111.81,111.81
88307-TC,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,279.41,279.41
88309,Other professional services,TISSUE EXAM BY PATHOLOGIST,585.93,585.93
88309-26,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,197.36,197.36
88309-TC,Clinical Laboratory,TISSUE EXAM BY PATHOLOGIST,388.58,388.58
88311,Other professional services,DECALCIFY TISSUE,28.02,28.02
88311-26,Clinical Laboratory,DECALCIFY TISSUE,16.91,16.91
88311-TC,Clinical Laboratory,DECALCIFY TISSUE,11.10,11.10
88312,Other professional services,SPECIAL STAINS GROUP 1,152.07,152.07
88312-26,Clinical Laboratory,SPECIAL STAINS GROUP 1,36.41,36.41
88312-TC,Clinical Laboratory,SPECIAL STAINS GROUP 1,115.67,115.67
88313,Other professional services,SPECIAL STAINS GROUP 2,111.14,111.14
88313-26,Clinical Laboratory,SPECIAL STAINS GROUP 2,16.46,16.46
88313-TC,Clinical Laboratory,SPECIAL STAINS GROUP 2,94.68,94.68
88314,Other professional services,HISTOCHEMICAL STAINS ADD-ON,116.70,116.70
88314-26,Clinical Laboratory,HISTOCHEMICAL STAINS ADD-ON,27.56,27.56
88314-TC,Clinical Laboratory,HISTOCHEMICAL STAINS ADD-ON,89.16,89.16
88319,Other professional services,ENZYME HISTOCHEMISTRY,183.93,183.93
88319-26,Clinical Laboratory,ENZYME HISTOCHEMISTRY,36.83,36.83
88319-TC,Clinical Laboratory,ENZYME HISTOCHEMISTRY,147.12,147.12
88321,Other professional services,CONSLTJ&REPRT SLD PREP ELSWR,135.26,115.05
88323,Other professional services,CONSLTJ&REPRT MATRL PREP SLD,162.54,162.54
88323-26,Clinical Laboratory,CONSLTJ&REPRT MATRL PREP SLD,122.24,122.24
88323-TC,Clinical Laboratory,CONSLTJ&REPRT MATRL PREP SLD,40.31,40.31
88325,Other professional services,CONSLTJ COMPRE RVW REC REPRT,219.75,187.41
88329,Other professional services,PATH CONSLTJ DRG SURG,75.14,48.18
88331,Other professional services,PATH CONSLTJ SURG 1 BLK 1SPC,139.58,139.58
88331-26,Clinical Laboratory,PATH CONSLTJ SURG 1 BLK 1SPC,84.89,84.89
88331-TC,Clinical Laboratory,PATH CONSLTJ SURG 1 BLK 1SPC,54.69,54.69
88332,Other professional services,PATH CONSLTJ SURG EA ADD BLK,75.56,75.56
88332-26,Clinical Laboratory,PATH CONSLTJ SURG EA ADD BLK,41.99,41.99
88332-TC,Clinical Laboratory,PATH CONSLTJ SURG EA ADD BLK,33.57,33.57
88333,Other professional services,PATH CONSLTJ SURG CYTO XM 1,126.59,126.59
88333-26,Clinical Laboratory,PATH CONSLTJ SURG CYTO XM 1,84.48,84.48
88333-TC,Clinical Laboratory,PATH CONSLTJ SURG CYTO XM 1,42.11,42.11
88334,Other professional services,PATH CONSLTJ SURG CYTO XM EA,77.52,77.52
88334-26,Clinical Laboratory,PATH CONSLTJ SURG CYTO XM EA,51.47,51.47
88334-TC,Clinical Laboratory,PATH CONSLTJ SURG CYTO XM EA,26.06,26.06
88341,Other professional services,IMHCHEM/IMCYTCHM EA ADD ANTB,131.73,131.73
88341-26,Clinical Laboratory,IMHCHEM/IMCYTCHM EA ADD ANTB,38.73,38.73
88341-TC,Clinical Laboratory,IMHCHEM/IMCYTCHM EA ADD ANTB,93.00,93.00
88342,Other professional services,IMHCHEM/IMCYTCHM 1ST ANTB,153.68,153.68
88342-26,Clinical Laboratory,IMHCHEM/IMCYTCHM 1ST ANTB,47.76,47.76
88342-TC,Clinical Laboratory,IMHCHEM/IMCYTCHM 1ST ANTB,105.90,105.90
88344,Other professional services,IMHCHEM/IMCYTCHM EA MLT ANTB,234.80,234.80
88344-26,Clinical Laboratory,IMHCHEM/IMCYTCHM EA MLT ANTB,52.97,52.97
88344-TC,Clinical Laboratory,IMHCHEM/IMCYTCHM EA MLT ANTB,181.83,181.83
88346,Other professional services,IMFLUOR 1ST 1ANTB STAIN PX,196.82,196.82
88346-26,Clinical Laboratory,IMFLUOR 1ST 1ANTB STAIN PX,49.26,49.26
88346-TC,Clinical Laboratory,IMFLUOR 1ST 1ANTB STAIN PX,147.57,147.57
88348,Other professional services,ELECTRON MICROSCOPY DX,666.93,666.93
88348-26,Clinical Laboratory,ELECTRON MICROSCOPY DX,106.14,106.14
88348-TC,Clinical Laboratory,ELECTRON MICROSCOPY DX,560.81,560.81
88350,Clinical Laboratory,IMFLUOR EA ADDL 1ANTB STN PX,150.59,150.59
88350-26,Clinical Laboratory,IMFLUOR EA ADDL 1ANTB STN PX,39.74,39.74
88350-TC,Clinical Laboratory,IMFLUOR EA ADDL 1ANTB STN PX,110.85,110.85
88355,Other professional services,M/PHMTRC ALYS SKELETAL MUSC,197.66,197.66
88355-26,Clinical Laboratory,M/PHMTRC ALYS SKELETAL MUSC,114.35,114.35
88355-TC,Clinical Laboratory,M/PHMTRC ALYS SKELETAL MUSC,83.31,83.31
88356,Other professional services,ANALYSIS NERVE,327.39,327.39
88356-26,Clinical Laboratory,ANALYSIS NERVE,168.53,168.53
88356-TC,Clinical Laboratory,ANALYSIS NERVE,158.87,158.87
88358,Other professional services,ANALYSIS TUMOR,184.55,184.55
88358-26,Clinical Laboratory,ANALYSIS TUMOR,67.41,67.41
88358-TC,Clinical Laboratory,ANALYSIS TUMOR,117.14,117.14
88360,Other professional services,TUMOR IMMUNOHISTOCHEM/MANUAL,163.20,163.20
88360-26,Clinical Laboratory,TUMOR IMMUNOHISTOCHEM/MANUAL,56.84,56.84
88360-TC,Clinical Laboratory,TUMOR IMMUNOHISTOCHEM/MANUAL,106.35,106.35
88361,Other professional services,TUMOR IMMUNOHISTOCHEM/COMPUT,159.06,159.06
88361-26,Clinical Laboratory,TUMOR IMMUNOHISTOCHEM/COMPUT,59.45,59.45
88361-TC,Clinical Laboratory,TUMOR IMMUNOHISTOCHEM/COMPUT,99.62,99.62
88362,Other professional services,NERVE TEASING PREPARATIONS,317.24,317.24
88362-26,Clinical Laboratory,NERVE TEASING PREPARATIONS,151.83,151.83
88362-TC,Clinical Laboratory,NERVE TEASING PREPARATIONS,165.41,165.41
88363,Other professional services,XM ARCHIVE TISSUE MOLEC ANAL,32.52,26.24
88364,Other professional services,INSITU HYBRIDIZATION (FISH),176.13,176.13
88364-26,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),46.41,46.41
88364-TC,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),129.72,129.72
88365,Other professional services,INSITU HYBRIDIZATION (FISH),237.32,237.32
88365-26,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),58.74,58.74
88365-TC,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),178.56,178.56
88366,Other professional services,INSITU HYBRIDIZATION (FISH),365.06,365.06
88366-26,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),84.62,84.62
88366-TC,Clinical Laboratory,INSITU HYBRIDIZATION (FISH),280.43,280.43
88367,Other professional services,INSITU HYBRIDIZATION AUTO,149.16,149.16
88367-26,Clinical Laboratory,INSITU HYBRIDIZATION AUTO,45.63,45.63
88367-TC,Clinical Laboratory,INSITU HYBRIDIZATION AUTO,103.53,103.53
88368,Other professional services,INSITU HYBRIDIZATION MANUAL,203.61,203.61
88368-26,Clinical Laboratory,INSITU HYBRIDIZATION MANUAL,58.29,58.29
88368-TC,Clinical Laboratory,INSITU HYBRIDIZATION MANUAL,145.32,145.32
88369,Other professional services,M/PHMTRC ALYSISHQUANT/SEMIQ,178.38,178.38
88369-26,Clinical Laboratory,M/PHMTRC ALYSISHQUANT/SEMIQ,46.86,46.86
88369-TC,Clinical Laboratory,M/PHMTRC ALYSISHQUANT/SEMIQ,131.52,131.52
88371,Clinical Laboratory,PROTEIN WESTERN BLOT TISSUE,33.35,33.35
88371-26,Clinical Laboratory,PROTEIN WESTERN BLOT TISSUE,26.36,26.36
88372,Clinical Laboratory,PROTEIN ANALYSIS W/PROBE,39.33,39.33
88372-26,Clinical Laboratory,PROTEIN ANALYSIS W/PROBE,25.02,25.02
88373,Other professional services,M/PHMTRC ALYS ISHQUANT/SEMIQ,90.47,90.47
88373-26,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,34.88,34.88
88373-TC,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,55.59,55.59
88374,Other professional services,M/PHMTRC ALYS ISHQUANT/SEMIQ,370.04,370.04
88374-26,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,57.57,57.57
88374-TC,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,312.45,312.45
88375,Other professional services,OPTICAL ENDOMICROSCPY INTERP,65.21,65.21
88377,Other professional services,M/PHMTRC ALYS ISHQUANT/SEMIQ,527.06,527.06
88377-26,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,88.92,88.92
88377-TC,Clinical Laboratory,M/PHMTRC ALYS ISHQUANT/SEMIQ,438.14,438.14
88380,Other professional services,MICRODISSECTION LASER,173.30,173.30
88380-26,Clinical Laboratory,MICRODISSECTION LASER,73.04,73.04
88380-TC,Clinical Laboratory,MICRODISSECTION LASER,100.26,100.26
88381,Other professional services,MICRODISSECTION MANUAL,263.21,263.21
88381-26,Clinical Laboratory,MICRODISSECTION MANUAL,32.33,32.33
88381-TC,Clinical Laboratory,MICRODISSECTION MANUAL,230.88,230.88
88387,Other professional services,MACROSCOPIC XM DSJ&PREP TISS,46.91,46.91
88387-26,Clinical Laboratory,MACROSCOPIC XM DSJ&PREP TISS,37.14,37.14
88387-TC,Clinical Laboratory,MACROSCOPIC XM DSJ&PREP TISS,9.77,9.77
88399,Other professional services,UNLISTED SURGICAL PATH PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88399-26,Clinical Laboratory,UNLISTED SURGICAL PATH PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88399-TC,Clinical Laboratory,UNLISTED SURGICAL PATH PX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
88720,Clinical Laboratory,BILIRUBIN TOTAL TRANSCUT,7.53,7.53
88738,Clinical Laboratory,HGB QUANT TRANSCUTANEOUS,7.53,7.53
88740,Clinical Laboratory,TRANSCUTANEOUS CARBOXYHB,14.06,14.06
88741,Clinical Laboratory,TRANSCUTANEOUS METHB,14.06,14.06
88749,Other professional services,UNLISTED IN VIVO LAB SERVICE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89049,Other professional services,CHCT FOR MAL HYPERTHERMIA,393.77,85.10
89050,Clinical Laboratory,BODY FLUID CELL COUNT,7.08,7.08
89051,Clinical Laboratory,BODY FLUID CELL COUNT,8.40,8.40
89055,Clinical Laboratory,LEUKOCYTE ASSESSMENT FECAL,6.41,6.41
89060,Clinical Laboratory,EXAM SYNOVIAL FLUID CRYSTALS,11.00,11.00
89060-26,Clinical Laboratory,EXAM SYNOVIAL FLUID CRYSTALS,25.02,25.02
89125,Clinical Laboratory,SPECIMEN FAT STAIN,8.82,8.82
89160,Clinical Laboratory,EXAM FECES FOR MEAT FIBERS,7.28,7.28
89190,Clinical Laboratory,NASAL SMEAR FOR EOSINOPHILS,8.69,8.69
89220,Other professional services,SPUTUM SPECIMEN COLLECTION,25.49,25.49
89230,Other professional services,COLLECT SWEAT FOR TEST,3.92,3.92
89240,Other professional services,UNLISTED MISC PATH TEST,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89250,Other professional services,CULTR OOCYTE/EMBRYO <4 DAYS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89251,Other professional services,CULTR OOCYTE/EMBRYO <4 DAYS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89253,Other professional services,EMBRYO HATCHING,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89254,Other professional services,OOCYTE IDENTIFICATION,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89255,Other professional services,PREPARE EMBRYO FOR TRANSFER,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89257,Other professional services,SPERM IDENTIFICATION,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89258,Other professional services,CRYOPRESERVATION EMBRYO(S),UCR or Pay Per Agreement,UCR or Pay Per Agreement
89259,Other professional services,CRYOPRESERVATION SPERM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89260,Other professional services,SPERM ISOLATION SIMPLE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89261,Other professional services,SPERM ISOLATION COMPLEX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89264,Other professional services,IDENTIFY SPERM TISSUE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89268,Other professional services,INSEMINATION OF OOCYTES,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89272,Other professional services,EXTENDED CULTURE OF OOCYTES,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89280,Other professional services,ASSIST OOCYTE FERTILIZATION,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89281,Other professional services,ASSIST OOCYTE FERTILIZATION,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89290,Other professional services,BIOPSY OOCYTE POLAR BODY <=5,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89291,Other professional services,BIOPSY OOCYTE POLAR BODY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89300,Clinical Laboratory,SEMEN ANALYSIS W/HUHNER,14.76,14.76
89310,Clinical Laboratory,SEMEN ANALYSIS W/COUNT,12.92,12.92
89320,Clinical Laboratory,SEMEN ANAL VOL/COUNT/MOT,18.47,18.47
89321,Clinical Laboratory,SEMEN ANAL SPERM DETECTION,18.08,18.08
89322,Clinical Laboratory,SEMEN ANAL STRICT CRITERIA,23.25,23.25
89325,Clinical Laboratory,SPERM ANTIBODY TEST,16.01,16.01
89329,Clinical Laboratory,SPERM EVALUATION TEST,29.39,29.39
89330,Clinical Laboratory,EVALUATION CERVICAL MUCUS,15.57,15.57
89331,Clinical Laboratory,RETROGRADE EJACULATION ANAL,29.39,29.39
89335,Other professional services,CRYOPRESERVE TESTICULAR TISS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89337,Other professional services,CRYOPRESERVATION OOCYTE(S),UCR or Pay Per Agreement,UCR or Pay Per Agreement
89342,Other professional services,STORAGE/YEAR EMBRYO(S),UCR or Pay Per Agreement,UCR or Pay Per Agreement
89343,Other professional services,STORAGE/YEAR SPERM/SEMEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89344,Other professional services,STORAGE/YEAR REPROD TISSUE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89346,Other professional services,STORAGE/YEAR OOCYTE(S),UCR or Pay Per Agreement,UCR or Pay Per Agreement
89352,Other professional services,THAWING CRYOPRESRVED EMBRYO,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89353,Other professional services,THAWING CRYOPRESRVED SPERM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89354,Other professional services,THAW CRYOPRSVRD REPROD TISS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89356,Other professional services,THAWING CRYOPRESRVED OOCYTE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
89398,Other professional services,UNLISTED REPROD MED LAB PROC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90281,Other professional services,HUMAN IG IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90283,Other professional services,HUMAN IG IV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90284,Other professional services,HUMAN IG SC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90287,Other professional services,BOTULINUM ANTITOXIN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90288,Other professional services,BOTULISM IG IV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90291,Other professional services,CMV IG IV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90296,Other professional services,DIPHTHERIA ANTITOXIN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90371,Other professional services,HEP B IG IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90375,Other professional services,RABIES IG IM/SC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90376,Other professional services,RABIES IG HEAT TREATED,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90377,Other professional services,RABIES IG HT&SOL HUMAN IM/SC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90378,Other professional services,RSV MAB IM 50MG,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90380,Other professional services,RSV MONOC ANTB SEASN .5ML IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90381,Other professional services,RSV MONOC ANTB SEASN 1 ML IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90384,Other professional services,RH IG FULL-DOSE IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90385,Other professional services,RH IG MINIDOSE IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90386,Other professional services,RH IG IV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90389,Other professional services,TETANUS IG IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90393,Other professional services,VACCINA IG IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90396,Other professional services,VARICELLA-ZOSTER IG IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90399,Other professional services,UNLISTED IMMUNE GLOBULIN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90460,Other professional services,IM ADMIN 1ST/ONLY COMPONENT,31.61,31.61
90461,Other professional services,IM ADMIN EACH ADDL COMPONENT,12.20,12.20
90471,Other professional services,IMMUNIZATION ADMIN,28.34,28.34
90472,Other professional services,IMMUNIZATION ADMIN EACH ADD,20.18,20.18
90473,Other professional services,IMMUNE ADMIN ORAL/NASAL,22.95,22.95
90474,Other professional services,IMMUNE ADMIN ORAL/NASAL ADDL,16.59,16.59
90476,Other professional services,ADENOVIRUS VACCINE TYPE 4,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90477,Other professional services,ADENOVIRUS VACCINE TYPE 7,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90480,Other professional services,ADMN SARSCOV2 VACC 1 DOSE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90581,Other professional services,ANTHRAX VACCINE SC OR IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90584,Other professional services,DENGUE VACC QUAD 2 DOSE SUBQ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90585,Other professional services,BCG VACCINE PERCUT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90586,Other professional services,BCG VACCINE INTRAVESICAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90587,Other professional services,DENGUE VACC QUAD 3 DOSE SUBQ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
90589,Other professional services,CHIKUNGUNYA VACCINE LIVE IM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
