ARIZONA PHYSICIANS' FEE SCHEDULE,,,,,
Radiology Codes 2024,,,,,
Radiology Conversion Factor $70.00,,,,,
,,,,,
,,,,,
Code,Category,FY24 NF RVU,FY24 FAC RVU,FY24 NF RBRVS Rate,FY24 FAC RBRVS Rate
76815 26,Radiology,0.91,0.91,63.7,63.7
76815 TC,Radiology,1.52,1.52,106.4,106.4
76816 00,Radiology,3.3,3.3,231,231
76816 26,Radiology,1.2,1.2,84,84
76816 TC,Radiology,2.1,2.1,147,147
76817 00,Radiology,2.78,2.78,194.6,194.6
76817 26,Radiology,1.06,1.06,74.2,74.2
76817 TC,Radiology,1.72,1.72,120.4,120.4
76818 00,Radiology,3.56,3.56,249.2,249.2
76818 26,Radiology,1.48,1.48,103.6,103.6
76818 TC,Radiology,2.08,2.08,145.6,145.6
76819 00,Radiology,2.57,2.57,179.9,179.9
76819 26,Radiology,1.08,1.08,75.6,75.6
76819 TC,Radiology,1.49,1.49,104.3,104.3
76820 00,Radiology,1.34,1.34,93.8,93.8
76820 26,Radiology,0.7,0.7,49,49
76820 TC,Radiology,0.64,0.64,44.8,44.8
76821 00,Radiology,2.67,2.67,186.9,186.9
76821 26,Radiology,0.99,0.99,69.3,69.3
76821 TC,Radiology,1.68,1.68,117.6,117.6
76825 00,Radiology,7.85,7.85,549.5,549.5
76825 26,Radiology,2.34,2.34,163.8,163.8
76825 TC,Radiology,5.51,5.51,385.7,385.7
76826 00,Radiology,4.7,4.7,329,329
76826 26,Radiology,1.16,1.16,81.2,81.2
76826 TC,Radiology,3.54,3.54,247.8,247.8
76827 00,Radiology,2.1,2.1,147,147
76827 26,Radiology,0.82,0.82,57.4,57.4
76827 TC,Radiology,1.28,1.28,89.6,89.6
76828 00,Radiology,1.46,1.46,102.2,102.2
76828 26,Radiology,0.78,0.78,54.6,54.6
76828 TC,Radiology,0.68,0.68,47.6,47.6
76830 00,Radiology,3.58,3.58,250.6,250.6
76830 26,Radiology,0.97,0.97,67.9,67.9
76830 TC,Radiology,2.61,2.61,182.7,182.7
76831 00,Radiology,3.49,3.49,244.3,244.3
76831 26,Radiology,1.02,1.02,71.4,71.4
76831 TC,Radiology,2.47,2.47,172.9,172.9
76856 00,Radiology,3.16,3.16,221.2,221.2
76856 26,Radiology,0.96,0.96,67.2,67.2
76856 TC,Radiology,2.2,2.2,154,154
76857 00,Radiology,1.48,1.48,103.6,103.6
76857 26,Radiology,0.69,0.69,48.3,48.3
76857 TC,Radiology,0.79,0.79,55.3,55.3
76870 00,Radiology,3,3,210,210
76870 26,Radiology,0.89,0.89,62.3,62.3
76870 TC,Radiology,2.11,2.11,147.7,147.7
76872 00,Radiology,6.04,6.04,422.8,422.8
76872 26,Radiology,0.96,0.96,67.2,67.2
76872 TC,Radiology,5.08,5.08,355.6,355.6
76873 00,Radiology,5.27,5.27,368.9,368.9
76873 26,Radiology,2.26,2.26,158.2,158.2
76873 TC,Radiology,3.01,3.01,210.7,210.7
76881 00,Radiology,1.61,1.61,112.7,112.7
76881 26,Radiology,1.28,1.28,89.6,89.6
76881 TC,Radiology,0.33,0.33,23.1,23.1
76882 00,Radiology,1.9,1.9,133,133
76882 26,Radiology,0.97,0.97,67.9,67.9
76882 TC,Radiology,0.93,0.93,65.1,65.1
76883 00,Radiology,2.14,2.14,149.8,149.8
76883 26,Radiology,1.71,1.71,119.7,119.7
76883 TC,Radiology,0.43,0.43,30.1,30.1
76885 00,Radiology,4.07,4.07,284.9,284.9
76885 26,Radiology,1.04,1.04,72.8,72.8
76885 TC,Radiology,3.03,3.03,212.1,212.1
76886 00,Radiology,2.99,2.99,209.3,209.3
76886 26,Radiology,0.87,0.87,60.9,60.9
76886 TC,Radiology,2.12,2.12,148.4,148.4
76932 00,Radiology,-,-,200.2,200.2
76932 26,Radiology,1.06,1.06,74.2,74.2
76932 TC,Radiology,-,-,126,126
76936 00,Radiology,7.81,7.81,546.7,546.7
76936 26,Radiology,2.76,2.76,193.2,193.2
76936 TC,Radiology,5.05,5.05,353.5,353.5
76937 00,Radiology,1.15,1.15,80.5,80.5
76937 26,Radiology,0.41,0.41,28.7,28.7
76937 TC,Radiology,0.74,0.74,51.8,51.8
76940 00,Radiology,-,-,333.9,333.9
76940 26,Radiology,2.96,2.96,207.2,207.2
76940 TC,Radiology,-,-,126.7,126.7
76941 00,Radiology,-,-,245,245
76941 26,Radiology,1.89,1.89,132.3,132.3
76941 TC,Radiology,-,-,112.7,112.7
76942 00,Radiology,1.74,1.74,121.8,121.8
76942 26,Radiology,0.89,0.89,62.3,62.3
76942 TC,Radiology,0.85,0.85,59.5,59.5
76945 00,Radiology,-,-,182.7,182.7
76945 26,Radiology,0.94,0.94,65.8,65.8
76945 TC,Radiology,-,-,116.9,116.9
76946 00,Radiology,1,1,70,70
76946 26,Radiology,0.54,0.54,37.8,37.8
76946 TC,Radiology,0.46,0.46,32.2,32.2
76948 00,Radiology,2.42,2.42,169.4,169.4
76948 26,Radiology,0.94,0.94,65.8,65.8
76948 TC,Radiology,1.48,1.48,103.6,103.6
76965 00,Radiology,2.83,2.83,198.1,198.1
76965 26,Radiology,2,2,140,140
76965 TC,Radiology,0.83,0.83,58.1,58.1
76975 00,Radiology,-,-,205.1,205.1
76975 26,Radiology,1.2,1.2,84,84
76975 TC,Radiology,-,-,121.1,121.1
76977 00,Radiology,0.22,0.22,15.4,15.4
76977 26,Radiology,0.08,0.08,5.6,5.6
76977 TC,Radiology,0.14,0.14,9.8,9.8
76978 00,Radiology,6.65,6.65,465.5,465.5
76978 26,Radiology,2.28,2.28,159.6,159.6
76978 TC,Radiology,4.37,4.37,305.9,305.9
76979 00,Radiology,4.28,4.28,299.6,299.6
76979 26,Radiology,1.19,1.19,83.3,83.3
76979 TC,Radiology,3.09,3.09,216.3,216.3
76981 00,Radiology,3.13,3.13,219.1,219.1
76981 26,Radiology,0.84,0.84,58.8,58.8
76981 TC,Radiology,2.29,2.29,160.3,160.3
76982 00,Radiology,2.8,2.8,196,196
76982 26,Radiology,0.84,0.84,58.8,58.8
76982 TC,Radiology,1.96,1.96,137.2,137.2
76983 00,Radiology,1.85,1.85,129.5,129.5
76983 26,Radiology,0.74,0.74,51.8,51.8
76983 TC,Radiology,1.11,1.11,77.7,77.7
76984 00,Radiology,-,-,149.8,149.8
76984 26,Radiology,0.92,0.92,64.4,64.4
76984 TC,Radiology,-,-,85.4,85.4
76987 00,Radiology,-,-,457.1,457.1
76987 26,Radiology,2.81,2.81,196.7,196.7
76987 TC,Radiology,-,-,260.4,260.4
76988 00,Radiology,-,-,291.2,291.2
76988 26,Radiology,1.79,1.79,125.3,125.3
76988 TC,Radiology,-,-,165.9,165.9
76989 00,Radiology,-,-,170.8,170.8
76989 26,Radiology,1.05,1.05,73.5,73.5
76989 TC,Radiology,-,-,97.3,97.3
76998 00,Radiology,-,-,224.7,224.7
76998 26,Radiology,1.38,1.38,96.6,96.6
76998 TC,Radiology,-,-,128.1,128.1
76999 00,Radiology,0,0,BR,BR
76999 26,Radiology,0,0,BR,BR
76999 TC,Radiology,0,0,BR,BR
77001 00,Radiology,2.96,2.96,207.2,207.2
77001 26,Radiology,0.53,0.53,37.1,37.1
77001 TC,Radiology,2.43,2.43,170.1,170.1
77002 00,Radiology,3.48,3.48,243.6,243.6
77002 26,Radiology,0.79,0.79,55.3,55.3
77002 TC,Radiology,2.69,2.69,188.3,188.3
77003 00,Radiology,3.16,3.16,221.2,221.2
77003 26,Radiology,0.85,0.85,59.5,59.5
77003 TC,Radiology,2.31,2.31,161.7,161.7
77011 00,Radiology,6.64,6.64,464.8,464.8
77011 26,Radiology,1.82,1.82,127.4,127.4
77011 TC,Radiology,4.82,4.82,337.4,337.4
77012 00,Radiology,4.17,4.17,291.9,291.9
77012 26,Radiology,2.05,2.05,143.5,143.5
77012 TC,Radiology,2.12,2.12,148.4,148.4
77013 00,Radiology,-,-,1044.4,1044.4
77013 26,Radiology,5.37,5.37,375.9,375.9
77013 TC,Radiology,-,-,668.5,668.5
77014 00,Radiology,3.59,3.59,251.3,251.3
77014 26,Radiology,1.33,1.33,93.1,93.1
77014 TC,Radiology,2.26,2.26,158.2,158.2
77021 00,Radiology,12.77,12.77,893.9,893.9
77021 26,Radiology,2.09,2.09,146.3,146.3
77021 TC,Radiology,10.68,10.68,747.6,747.6
77022 00,Radiology,-,-,1323,1323
77022 26,Radiology,5.86,5.86,410.2,410.2
77022 TC,Radiology,-,-,912.8,912.8
77046 00,Radiology,6.57,6.57,459.9,459.9
77046 26,Radiology,2.03,2.03,142.1,142.1
77046 TC,Radiology,4.54,4.54,317.8,317.8
77047 00,Radiology,6.75,6.75,472.5,472.5
77047 26,Radiology,2.24,2.24,156.8,156.8
77047 TC,Radiology,4.51,4.51,315.7,315.7
77048 00,Radiology,10.36,10.36,725.2,725.2
77048 26,Radiology,2.95,2.95,206.5,206.5
77048 TC,Radiology,7.41,7.41,518.7,518.7
77049 00,Radiology,10.57,10.57,739.9,739.9
77049 26,Radiology,3.23,3.23,226.1,226.1
77049 TC,Radiology,7.34,7.34,513.8,513.8
77053 00,Radiology,1.62,1.62,113.4,113.4
77053 26,Radiology,0.51,0.51,35.7,35.7
77053 TC,Radiology,1.11,1.11,77.7,77.7
77054 00,Radiology,2.08,2.08,145.6,145.6
77054 26,Radiology,0.63,0.63,44.1,44.1
77054 TC,Radiology,1.45,1.45,101.5,101.5
77061 00,Radiology,-,-,132.3,132.3
77061 26,Radiology,0,0,BR,BR
77061 TC,Radiology,-,-,132.3,132.3
77062 00,Radiology,-,-,132.3,132.3
77062 26,Radiology,0,0,BR,BR
77062 TC,Radiology,-,-,132.3,132.3
77063 00,Radiology,1.56,1.56,109.2,109.2
77063 26,Radiology,0.84,0.84,58.8,58.8
77063 TC,Radiology,0.72,0.72,50.4,50.4
77065 00,Radiology,3.76,3.76,263.2,263.2
77065 26,Radiology,1.14,1.14,79.8,79.8
77065 TC,Radiology,2.62,2.62,183.4,183.4
77066 00,Radiology,4.76,4.76,333.2,333.2
77066 26,Radiology,1.4,1.4,98,98
77066 TC,Radiology,3.36,3.36,235.2,235.2
77067 00,Radiology,3.84,3.84,268.8,268.8
77067 26,Radiology,1.07,1.07,74.9,74.9
77067 TC,Radiology,2.77,2.77,193.9,193.9
77071 00,Radiology,1.65,1.65,115.5,115.5
77072 00,Radiology,0.78,0.78,54.6,54.6
77072 26,Radiology,0.27,0.27,18.9,18.9
77072 TC,Radiology,0.51,0.51,35.7,35.7
77073 00,Radiology,1.36,1.36,95.2,95.2
77073 26,Radiology,0.39,0.39,27.3,27.3
77073 TC,Radiology,0.97,0.97,67.9,67.9
77074 00,Radiology,1.96,1.96,137.2,137.2
77074 26,Radiology,0.62,0.62,43.4,43.4
77074 TC,Radiology,1.34,1.34,93.8,93.8
77075 00,Radiology,2.99,2.99,209.3,209.3
77075 26,Radiology,0.78,0.78,54.6,54.6
77075 TC,Radiology,2.21,2.21,154.7,154.7
77076 00,Radiology,3.22,3.22,225.4,225.4
77076 26,Radiology,0.99,0.99,69.3,69.3
77076 TC,Radiology,2.23,2.23,156.1,156.1
77077 00,Radiology,1.41,1.41,98.7,98.7
77077 26,Radiology,0.49,0.49,34.3,34.3
77077 TC,Radiology,0.92,0.92,64.4,64.4
77078 00,Radiology,3.1,3.1,217,217
77078 26,Radiology,0.35,0.35,24.5,24.5
77078 TC,Radiology,2.75,2.75,192.5,192.5
77080 00,Radiology,1.17,1.17,81.9,81.9
77080 26,Radiology,0.28,0.28,19.6,19.6
77080 TC,Radiology,0.89,0.89,62.3,62.3
77081 00,Radiology,0.95,0.95,66.5,66.5
77081 26,Radiology,0.28,0.28,19.6,19.6
77081 TC,Radiology,0.67,0.67,46.9,46.9
77084 00,Radiology,9.78,9.78,684.6,684.6
77084 26,Radiology,2.25,2.25,157.5,157.5
77084 TC,Radiology,7.53,7.53,527.1,527.1
77085 00,Radiology,1.6,1.6,112,112
77085 26,Radiology,0.42,0.42,29.4,29.4
77085 TC,Radiology,1.18,1.18,82.6,82.6
77086 00,Radiology,1.01,1.01,70.7,70.7
77086 26,Radiology,0.24,0.24,16.8,16.8
77086 TC,Radiology,0.77,0.77,53.9,53.9
77089 00,Radiology,1.21,1.21,84.7,84.7
77090 00,Radiology,0.08,0.08,5.6,5.6
77091 00,Radiology,0.84,0.84,58.8,58.8
77092 00,Radiology,0.29,0.29,20.3,20.3
77261 00,Radiology,2.11,2.11,147.7,147.7
77262 00,Radiology,3.23,3.23,226.1,226.1
77263 00,Radiology,5.01,5.01,350.7,350.7
77280 00,Radiology,8.08,8.08,565.6,565.6
77280 26,Radiology,1.12,1.12,78.4,78.4
77280 TC,Radiology,6.96,6.96,487.2,487.2
77285 00,Radiology,13.23,13.23,926.1,926.1
77285 26,Radiology,1.69,1.69,118.3,118.3
77285 TC,Radiology,11.54,11.54,807.8,807.8
77290 00,Radiology,13.43,13.43,940.1,940.1
77290 26,Radiology,2.45,2.45,171.5,171.5
77290 TC,Radiology,10.98,10.98,768.6,768.6
77293 00,Radiology,12.25,12.25,857.5,857.5
77293 26,Radiology,3.13,3.13,219.1,219.1
77293 TC,Radiology,9.12,9.12,638.4,638.4
77295 00,Radiology,14.42,14.42,1009.4,1009.4
77295 26,Radiology,6.7,6.7,469,469
77295 TC,Radiology,7.72,7.72,540.4,540.4
77299 00,Radiology,0,0,BR,BR
77299 26,Radiology,0,0,BR,BR
77299 TC,Radiology,0,0,BR,BR
77300 00,Radiology,1.98,1.98,138.6,138.6
77300 26,Radiology,0.97,0.97,67.9,67.9
77300 TC,Radiology,1.01,1.01,70.7,70.7
77301 00,Radiology,55.36,55.36,3875.2,3875.2
77301 26,Radiology,12.49,12.49,874.3,874.3
77301 TC,Radiology,42.87,42.87,3000.9,3000.9
77306 00,Radiology,4.45,4.45,311.5,311.5
77306 26,Radiology,2.19,2.19,153.3,153.3
77306 TC,Radiology,2.26,2.26,158.2,158.2
77307 00,Radiology,8.62,8.62,603.4,603.4
77307 26,Radiology,4.53,4.53,317.1,317.1
77307 TC,Radiology,4.09,4.09,286.3,286.3
77316 00,Radiology,7.39,7.39,517.3,517.3
77316 26,Radiology,2.19,2.19,153.3,153.3
77316 TC,Radiology,5.2,5.2,364,364
77317 00,Radiology,9.72,9.72,680.4,680.4
77317 26,Radiology,2.87,2.87,200.9,200.9
77317 TC,Radiology,6.85,6.85,479.5,479.5
77318 00,Radiology,13.78,13.78,964.6,964.6
77318 26,Radiology,4.52,4.52,316.4,316.4
77318 TC,Radiology,9.26,9.26,648.2,648.2
77321 00,Radiology,2.83,2.83,198.1,198.1
77321 26,Radiology,1.49,1.49,104.3,104.3
77321 TC,Radiology,1.34,1.34,93.8,93.8
77331 00,Radiology,1.95,1.95,136.5,136.5
77331 26,Radiology,1.37,1.37,95.9,95.9
77331 TC,Radiology,0.58,0.58,40.6,40.6
77332 00,Radiology,1.18,1.18,82.6,82.6
77332 26,Radiology,0.71,0.71,49.7,49.7
77332 TC,Radiology,0.47,0.47,32.9,32.9
77333 00,Radiology,4.11,4.11,287.7,287.7
77333 26,Radiology,1.17,1.17,81.9,81.9
77333 TC,Radiology,2.94,2.94,205.8,205.8
77334 00,Radiology,3.77,3.77,263.9,263.9
77334 26,Radiology,1.8,1.8,126,126
77334 TC,Radiology,1.97,1.97,137.9,137.9
77336 00,Radiology,2.67,2.67,186.9,186.9
77338 00,Radiology,14.06,14.06,984.2,984.2
77338 26,Radiology,6.71,6.71,469.7,469.7
77338 TC,Radiology,7.35,7.35,514.5,514.5
77370 00,Radiology,4.34,4.34,303.8,303.8
77371 00,Radiology,-,-,4751.6,4751.6
77372 00,Radiology,28.59,28.59,2001.3,2001.3
77373 00,Radiology,29.85,29.85,2089.5,2089.5
77385 00,Radiology,-,-,1461.6,1461.6
77386 00,Radiology,-,-,1461.6,1461.6
77387 00,Radiology,-,-,191.8,191.8
77399 00,Radiology,0,0,BR,BR
77399 26,Radiology,0,0,BR,BR
77399 TC,Radiology,0,0,BR,BR
77401 00,Radiology,1.25,1.25,87.5,87.5
77402 00,Radiology,-,-,211.4,211.4
77407 00,Radiology,0,0,BR,BR
77412 00,Radiology,-,-,370.3,370.3
77417 00,Radiology,0.45,0.45,31.5,31.5
77423 00,Radiology,0,0,BR,BR
77424 00,Radiology,0,0,BR,BR
77425 00,Radiology,0,0,BR,BR
77427 00,Radiology,5.7,5.7,399,399
77431 00,Radiology,3.22,3.22,225.4,225.4
77432 00,Radiology,12.67,12.67,886.9,886.9
77435 00,Radiology,19.16,19.16,1341.2,1341.2
77469 00,Radiology,9.53,9.53,667.1,667.1
77470 00,Radiology,4.26,4.26,298.2,298.2
77470 26,Radiology,3.18,3.18,222.6,222.6
77470 TC,Radiology,1.08,1.08,75.6,75.6
77499 00,Radiology,0,0,BR,BR
77499 26,Radiology,0,0,BR,BR
77499 TC,Radiology,0,0,BR,BR
77520 00,Radiology,-,-,2664.2,2664.2
77522 00,Radiology,-,-,2487.1,2487.1
77523 00,Radiology,-,-,2804.9,2804.9
77525 00,Radiology,-,-,3495.1,3495.1
77600 00,Radiology,16.35,16.35,1144.5,1144.5
77600 26,Radiology,2.12,2.12,148.4,148.4
77600 TC,Radiology,14.23,14.23,996.1,996.1
77605 00,Radiology,28.35,28.35,1984.5,1984.5
77605 26,Radiology,2.99,2.99,209.3,209.3
77605 TC,Radiology,25.36,25.36,1775.2,1775.2
77610 00,Radiology,20.54,20.54,1437.8,1437.8
77610 26,Radiology,2.06,2.06,144.2,144.2
77610 TC,Radiology,18.48,18.48,1293.6,1293.6
77615 00,Radiology,32.25,32.25,2257.5,2257.5
77615 26,Radiology,2.89,2.89,202.3,202.3
77615 TC,Radiology,29.36,29.36,2055.2,2055.2
77620 00,Radiology,19.12,19.12,1338.4,1338.4
77620 26,Radiology,2.47,2.47,172.9,172.9
77620 TC,Radiology,16.65,16.65,1165.5,1165.5
77750 00,Radiology,11.8,11.8,826,826
77750 26,Radiology,7.82,7.82,547.4,547.4
77750 TC,Radiology,3.98,3.98,278.6,278.6
77761 00,Radiology,12.65,12.65,885.5,885.5
77761 26,Radiology,6.02,6.02,421.4,421.4
77761 TC,Radiology,6.63,6.63,464.1,464.1
77762 00,Radiology,16.62,16.62,1163.4,1163.4
77762 26,Radiology,9.01,9.01,630.7,630.7
77762 TC,Radiology,7.61,7.61,532.7,532.7
77763 00,Radiology,23.48,23.48,1643.6,1643.6
77763 26,Radiology,13.54,13.54,947.8,947.8
77763 TC,Radiology,9.94,9.94,695.8,695.8
77767 00,Radiology,7.5,7.5,525,525
77767 26,Radiology,1.64,1.64,114.8,114.8
77767 TC,Radiology,5.86,5.86,410.2,410.2
77768 00,Radiology,10.99,10.99,769.3,769.3
77768 26,Radiology,2.19,2.19,153.3,153.3
77768 TC,Radiology,8.8,8.8,616,616
77770 00,Radiology,10.45,10.45,731.5,731.5
77770 26,Radiology,3.05,3.05,213.5,213.5
77770 TC,Radiology,7.4,7.4,518,518
77771 00,Radiology,18.17,18.17,1271.9,1271.9
77771 26,Radiology,5.94,5.94,415.8,415.8
77771 TC,Radiology,12.23,12.23,856.1,856.1
77772 00,Radiology,27.14,27.14,1899.8,1899.8
77772 26,Radiology,8.39,8.39,587.3,587.3
77772 TC,Radiology,18.75,18.75,1312.5,1312.5
77778 00,Radiology,27.63,27.63,1934.1,1934.1
77778 26,Radiology,13.7,13.7,959,959
77778 TC,Radiology,13.93,13.93,975.1,975.1
77789 00,Radiology,4,4,280,280
77789 26,Radiology,1.79,1.79,125.3,125.3
77789 TC,Radiology,2.21,2.21,154.7,154.7
77790 00,Radiology,0.54,0.54,37.8,37.8
77799 00,Radiology,0,0,BR,BR
77799 26,Radiology,0,0,BR,BR
77799 TC,Radiology,0,0,BR,BR
78012 00,Radiology,2.43,2.43,170.1,170.1
78012 26,Radiology,0.26,0.26,18.2,18.2
78012 TC,Radiology,2.17,2.17,151.9,151.9
78013 00,Radiology,5.14,5.14,359.8,359.8
78013 26,Radiology,0.51,0.51,35.7,35.7
78013 TC,Radiology,4.63,4.63,324.1,324.1
78014 00,Radiology,6.53,6.53,457.1,457.1
78014 26,Radiology,0.68,0.68,47.6,47.6
78014 TC,Radiology,5.85,5.85,409.5,409.5
78015 00,Radiology,6.36,6.36,445.2,445.2
78015 26,Radiology,0.94,0.94,65.8,65.8
78015 TC,Radiology,5.42,5.42,379.4,379.4
78016 00,Radiology,7.58,7.58,530.6,530.6
78016 26,Radiology,0.96,0.96,67.2,67.2
78016 TC,Radiology,6.62,6.62,463.4,463.4
78018 00,Radiology,8.52,8.52,596.4,596.4
78018 26,Radiology,1.14,1.14,79.8,79.8
78018 TC,Radiology,7.38,7.38,516.6,516.6
78020 00,Radiology,2.34,2.34,163.8,163.8
78020 26,Radiology,0.77,0.77,53.9,53.9
78020 TC,Radiology,1.57,1.57,109.9,109.9
78070 00,Radiology,8.08,8.08,565.6,565.6
78070 26,Radiology,1.11,1.11,77.7,77.7
78070 TC,Radiology,6.97,6.97,487.9,487.9
78071 00,Radiology,9.61,9.61,672.7,672.7
78071 26,Radiology,1.65,1.65,115.5,115.5
78071 TC,Radiology,7.96,7.96,557.2,557.2
78072 00,Radiology,11.92,11.92,834.4,834.4
78072 26,Radiology,2.16,2.16,151.2,151.2
78072 TC,Radiology,9.76,9.76,683.2,683.2
78075 00,Radiology,12.17,12.17,851.9,851.9
78075 26,Radiology,1.04,1.04,72.8,72.8
78075 TC,Radiology,11.13,11.13,779.1,779.1
78099 00,Radiology,0,0,BR,BR
78099 26,Radiology,0,0,BR,BR
78099 TC,Radiology,0,0,BR,BR
78102 00,Radiology,4.81,4.81,336.7,336.7
78102 26,Radiology,0.73,0.73,51.1,51.1
78102 TC,Radiology,4.08,4.08,285.6,285.6
78103 00,Radiology,5.13,5.13,359.1,359.1
78103 26,Radiology,0.88,0.88,61.6,61.6
78103 TC,Radiology,4.25,4.25,297.5,297.5
78104 00,Radiology,6.89,6.89,482.3,482.3
78104 26,Radiology,1.08,1.08,75.6,75.6
78104 TC,Radiology,5.81,5.81,406.7,406.7
78110 00,Radiology,2.07,2.07,144.9,144.9
78110 26,Radiology,0.23,0.23,16.1,16.1
78110 TC,Radiology,1.84,1.84,128.8,128.8
78111 00,Radiology,2.19,2.19,153.3,153.3
78111 26,Radiology,0.26,0.26,18.2,18.2
78111 TC,Radiology,1.93,1.93,135.1,135.1
78120 00,Radiology,2.12,2.12,148.4,148.4
78120 26,Radiology,0.28,0.28,19.6,19.6
78120 TC,Radiology,1.84,1.84,128.8,128.8
78121 00,Radiology,2.31,2.31,161.7,161.7
78121 26,Radiology,0.38,0.38,26.6,26.6
78121 TC,Radiology,1.93,1.93,135.1,135.1
78122 00,Radiology,2.94,2.94,205.8,205.8
78122 26,Radiology,0.6,0.6,42,42
78122 TC,Radiology,2.34,2.34,163.8,163.8
78130 00,Radiology,3.72,3.72,260.4,260.4
78130 26,Radiology,0.72,0.72,50.4,50.4
78130 TC,Radiology,3,3,210,210
78140 00,Radiology,3.28,3.28,229.6,229.6
78140 26,Radiology,0.72,0.72,50.4,50.4
78140 TC,Radiology,2.56,2.56,179.2,179.2
78185 00,Radiology,4.64,4.64,324.8,324.8
78185 26,Radiology,0.47,0.47,32.9,32.9
78185 TC,Radiology,4.17,4.17,291.9,291.9
78191 00,Radiology,3.72,3.72,260.4,260.4
78191 26,Radiology,0.72,0.72,50.4,50.4
78191 TC,Radiology,3,3,210,210
78195 00,Radiology,9.71,9.71,679.7,679.7
78195 26,Radiology,1.64,1.64,114.8,114.8
78195 TC,Radiology,8.07,8.07,564.9,564.9
78199 00,Radiology,0,0,BR,BR
78199 26,Radiology,0,0,BR,BR
78199 TC,Radiology,0,0,BR,BR
78201 00,Radiology,5.3,5.3,371,371
78201 26,Radiology,0.59,0.59,41.3,41.3
78201 TC,Radiology,4.71,4.71,329.7,329.7
78202 00,Radiology,5.83,5.83,408.1,408.1
78202 26,Radiology,0.69,0.69,48.3,48.3
78202 TC,Radiology,5.14,5.14,359.8,359.8
78215 00,Radiology,5.46,5.46,382.2,382.2
78215 26,Radiology,0.67,0.67,46.9,46.9
78215 TC,Radiology,4.79,4.79,335.3,335.3
78216 00,Radiology,3.83,3.83,268.1,268.1
78216 26,Radiology,0.76,0.76,53.2,53.2
78216 TC,Radiology,3.07,3.07,214.9,214.9
78226 00,Radiology,8.9,8.9,623,623
78226 26,Radiology,1.03,1.03,72.1,72.1
78226 TC,Radiology,7.87,7.87,550.9,550.9
78227 00,Radiology,11.94,11.94,835.8,835.8
78227 26,Radiology,1.24,1.24,86.8,86.8
78227 TC,Radiology,10.7,10.7,749,749
78230 00,Radiology,4.91,4.91,343.7,343.7
78230 26,Radiology,0.63,0.63,44.1,44.1
78230 TC,Radiology,4.28,4.28,299.6,299.6
78231 00,Radiology,3.11,3.11,217.7,217.7
78231 26,Radiology,0.61,0.61,42.7,42.7
78231 TC,Radiology,2.5,2.5,175,175
78232 00,Radiology,3.05,3.05,213.5,213.5
78232 26,Radiology,0.55,0.55,38.5,38.5
78232 TC,Radiology,2.5,2.5,175,175
78258 00,Radiology,5.93,5.93,415.1,415.1
78258 26,Radiology,0.98,0.98,68.6,68.6
78258 TC,Radiology,4.95,4.95,346.5,346.5
78261 00,Radiology,5.55,5.55,388.5,388.5
78261 26,Radiology,0.81,0.81,56.7,56.7
78261 TC,Radiology,4.74,4.74,331.8,331.8
78262 00,Radiology,6.79,6.79,475.3,475.3
78262 26,Radiology,0.95,0.95,66.5,66.5
78262 TC,Radiology,5.84,5.84,408.8,408.8
78264 00,Radiology,9.06,9.06,634.2,634.2
78264 26,Radiology,1.09,1.09,76.3,76.3
78264 TC,Radiology,7.97,7.97,557.9,557.9
78265 00,Radiology,10.77,10.77,753.9,753.9
78265 26,Radiology,1.34,1.34,93.8,93.8
78265 TC,Radiology,9.43,9.43,660.1,660.1
78266 00,Radiology,12.25,12.25,857.5,857.5
78266 26,Radiology,1.44,1.44,100.8,100.8
78266 TC,Radiology,10.81,10.81,756.7,756.7
78267 00,Radiology,0.337769742,0.337769742,23.64388197,23.64388197
78268 00,Radiology,2.883258715,2.883258715,201.82811,201.82811
78278 00,Radiology,9.56,9.56,669.2,669.2
78278 26,Radiology,1.37,1.37,95.9,95.9
78278 TC,Radiology,8.19,8.19,573.3,573.3
78282 00,Radiology,-,-,185.5,185.5
78282 26,Radiology,0.45,0.45,31.5,31.5
78282 TC,Radiology,-,-,154,154
78290 00,Radiology,9.01,9.01,630.7,630.7
78290 26,Radiology,0.93,0.93,65.1,65.1
78290 TC,Radiology,8.08,8.08,565.6,565.6
78291 00,Radiology,7.27,7.27,508.9,508.9
78291 26,Radiology,1.24,1.24,86.8,86.8
78291 TC,Radiology,6.03,6.03,422.1,422.1
78299 00,Radiology,0,0,BR,BR
78299 26,Radiology,0,0,BR,BR
78299 TC,Radiology,0,0,BR,BR
78300 00,Radiology,6.2,6.2,434,434
78300 26,Radiology,0.86,0.86,60.2,60.2
78300 TC,Radiology,5.34,5.34,373.8,373.8
78305 00,Radiology,7.48,7.48,523.6,523.6
78305 26,Radiology,1.14,1.14,79.8,79.8
78305 TC,Radiology,6.34,6.34,443.8,443.8
78306 00,Radiology,8.08,8.08,565.6,565.6
78306 26,Radiology,1.18,1.18,82.6,82.6
78306 TC,Radiology,6.9,6.9,483,483
78315 00,Radiology,9.5,9.5,665,665
78315 26,Radiology,1.41,1.41,98.7,98.7
78315 TC,Radiology,8.09,8.09,566.3,566.3
78350 00,Radiology,0.96,0.96,67.2,67.2
78350 26,Radiology,0.32,0.32,22.4,22.4
78350 TC,Radiology,0.64,0.64,44.8,44.8
78351 00,Radiology,0.44,0.44,30.8,30.8
78399 00,Radiology,0,0,BR,BR
